S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",59737,61996,72389,76670
1.1,Crops,26565,26839,31653,34026
1.2,Livestock,13673,15165,19074,19560
1.3,Forestry and logging,4044,3903,4560,4634
1.4,Fishing and aquaculture,15456,16089,17102,18451
2,Mining and quarrying,2867,3901,6220,18738
Total,Primary,62604,65897,78609,95409
3,Manufacturing,6334,6450,6684,6650
4,"Electricity, gas, water supply & other utility services",15924,17167,30928,30607
5,Construction,53695,60319,68031,69302
Total,Secondary,75953,83936,105643,106559
6,"Trade, repair, hotels and restaurants",33937,41707,51311,56278
6.1,Trade & repair services,31581,39108,48527,53143
6.2,Hotels & restaurants,2355,2600,2784,3135
7,"Transport, storage, communication & services related to broadcasting",46482,52010,56360,69648
7.1,Railways,NA,NA,NA,NA
7.2,Road transport,14800,16052,17299,19313
7.3,Water transport,6654,7773,8488,9991
7.4,Air transport,2143,3659,3010,8380
7.5,Services incidental to transport,18357,19516,21052,24375
7.6,Storage,25,43,42,41
7.7,Communication & services related to broadcasting,4503,4968,6468,7548
8,Financial services,12774,11323,12506,13462
9,"Real estate, ownership of dwelling & professional services",32304,35879,41175,45499
10,Public administration,74783,85078,88936,97359
11,Other services,64942,74413,81648,90292
Total,Tertiary,265222,300411,331936,372538
12,TOTAL GSVA at basic prices,403779,450244,516188,574506
13,Taxes on Products,4416,5493,11226,11504
14,Subsidies on products,10328,13598,11509,13916
15,Gross State Domestic Product,397867,442139,515905,572094
16,Population ('00),3860,3950,4030,4120
17,Per Capita GSDP (Rs.),103074,111934,128016,138858
